key,name_en,name_cn,name_hk,url
100041,SGHグローバル (Sagawa Global),SGHグローバル (Sagawa Global),SGHグローバル (Sagawa Global),http://www.sgh-globalj.com/
100042,Purolator,Purolator,Purolator,https://www.purolator.com/
100043,InPost (PL),InPost (PL),InPost (PL),https://inpost.pl/
100044,Aramex AU (formerly Fastway AU),Aramex AU (formerly Fastway AU),Aramex AU (formerly Fastway AU),https://www.aramex.com.au/
100045,Cacesa Postal,Cacesa Postal,Cacesa Postal,http://www.cacesapostal.com/
100046,Parcel2GO,Parcel2GO,Parcel2GO,https://www.parcel2go.com/
100047,DHL Parcel (NL),DHL Parcel (NL),DHL Parcel (NL),https://www.dhlparcel.nl/
100048,Correos Express,Correos Express,Correos Express,https://www.correosexpress.com/
100049,OnTrac,OnTrac,OnTrac,https://www.ontrac.com/
100050,UK Mail,UK Mail,UK Mail,https://www.ukmail.com/
100051,Sailpost,Sailpost,Sailpost,http://www.sailpost.it/
100052,LaserShip,LaserShip,LaserShip,https://www.lasership.com/
100053,Bluecare,Bluecare,Bluecare,https://www.bluecare.express/
100054,P2P Mailing,P2P Mailing,P2P Mailing,https://p2pmailing.co.uk/
100055,Blue Dart Express,Blue Dart Express,Blue Dart Express,https://bluedart.com/
100056,Ekart,Ekart,Ekart,https://ekartlogistics.com/
100058,Posta Plus,Posta Plus,Posta Plus,http://www.postaplus.com/
100060,Delhivery,Delhivery,Delhivery,https://www.delhivery.com/
100061,TForce Final Mile,TForce Final Mile,TForce Final Mile,https://www.tforcelogistics.com/
100062,Yamato (ヤマト運輸),Yamato,Yamato,http://www.kuronekoyamato.co.jp/
100063,TMG,TMG,TMG,http://www.tmg-group.jp/
100064,KEX Express (ABX Express),KEX Express (ABX Express),KEX Express (ABX Express),https://my.kex-express.com/
100065,TNT (IT),TNT (IT),TNT (IT),https://www.tnt.it/
100066,Fastway (ZA),Fastway (ZA),Fastway (ZA),http://www.fastway.co.za/
100067,Aramex NZ (formerly Fastway NZ),Aramex NZ (formerly Fastway NZ),Aramex NZ (formerly Fastway NZ),https://www.aramex.co.nz/
100068,Fastway (IE),Fastway (IE),Fastway (IE),http://www.fastway.ie/
100069,DTDC,DTDC,DTDC,https://www.dtdc.com/
100070,ACS,ACS,ACS,https://www.acscourier.net/
100071,DPD (RU),DPD (RU),DPD (RU),https://www.dpd.ru/
100072,DPD (FR),DPD (FR),DPD (FR),https://www.dpd.com/fr/fr/
100074,J&T Express (ID),J&T Express (ID),J&T Express (ID),https://www.jet.co.id/
100075,Easy Way,Easy Way,Easy Way,https://easyway.ru/
100076,GTS Express,GTS Express,GTS Express,http://www.gtsexpress.com/
100077,PAL Express,PAL Express,PAL Express,http://www.palexpress.com.hk/
100078,Caribou,Caribou,Caribou,https://wearecaribou.com/
100079,J&T Express (MY),J&T Express (MY),J&T Express (MY),https://jtexpress.my/
100081,City Link,City Link,City Link,http://www.citylinkexpress.com/
100082,Zajil Express,Zajil Express,Zajil Express,https://zajil-express.com/
100084,Yona Express,Yona Express,Yona Express,http://yona-express.com/
100085,K-mestu,K-mestu,K-mestu,http://k-mestu.ru/
100086,JNE Express,JNE Express,JNE Express,https://www.jne.co.id/
100087,Nexive,Nexive,Nexive,https://www.nexive.it/
100088,Airpak Express,Airpak Express,Airpak Express,https://airpak-express.com/
100089,Naqel,Naqel,Naqel,https://www.naqelexpress.com/
100090,Aquiline,Aquiline,Aquiline,https://aquiline-tracking.com/
100091,Hermes Borderguru,Hermes Borderguru,Hermes Borderguru,https://hermesborderguru.io/
100092,TMM Express,TMM Express,TMM Express,http://tmm-express.com/
100093,КСЭ (CSE),КСЭ (CSE),КСЭ (CSE),https://www.cse.ru/
100094,Flip Post,Flip Post,Flip Post,https://flippost.com/
100095,EasyGet,EasyGet,EasyGet,https://www.easyget.com.ua/
100097,DDU Express,DDU Express,DDU Express,https://ddu-express.com/
100098,BlueEx,BlueEx,BlueEx,https://www.blue-ex.com/
100099,Ecom Express,Ecom Express,Ecom Express,https://ecomexpress.in/
100100,Wing,Wing,Wing,https://www.wing.ae/
100101,Xpressbees,Xpressbees,Xpressbees,http://www.xpressbees.com/
100102,Shadowfax,Shadowfax,Shadowfax,https://shadowfax.in/
100103,Esnad Express,Esnad Express,Esnad Express,https://www.esnadexpress.com/
100104,IDS Logistics,IDS Logistics,IDS Logistics,https://www.idsship.com/
100105,Grastin,Grastin,Grastin,https://grastin.ru/
100107,PFLogistics,PFLogistics,PFLogistics,http://www.pflogistics.com.au/
100108,Dellin,Dellin,Dellin,https://www.dellin.ru/
100109,Quantium Solutions,冠庭国际物流,冠庭國際物流,https://www.quantiumsolutions.com/
100111,DPD (PL),DPD (PL),DPD (PL),https://www.dpd.com.pl/
100112,SCM,SCM,SCM,https://www.scmpaqueteria.mx/
100113,West Bank,West Bank,West Bank,http://westbankcourier.com/
100114,CTT Express,CTT Express,CTT Express,https://www.cttexpress.com/
100115,JAPO Transport,JAPO Transport,JAPO Transport,https://japo-autodoprava.cz/
100116,CJ Korea Express,CJ Korea Express,CJ Korea Express,https://www.cjlogistics.com/ko/main
100117,CJ Century,CJ Century,CJ Century,https://www.cjcentury.com/
100118,GTD,GTD,GTD,https://gtdel.com/
100119,PTS Worldwide Express,PTS Worldwide Express,PTS Worldwide Express,https://wp.pts.net/
100120,JDE,JDE,JDE,https://www.jde.ru/
100121,APC Postal Logistics,APC Postal Logistics,APC Postal Logistics,https://www.apc-pli.com/
100122,CouriersPlease,CouriersPlease,CouriersPlease,https://www.couriersplease.com.au/
100123,Sendle,Sendle,Sendle,https://www.sendle.com/
100124,Ninjavan (SG),Ninjavan (SG),Ninjavan (SG),https://www.ninjavan.co/en-sg
100125,Ninjavan (ID),Ninjavan (ID),Ninjavan (ID),https://www.ninjaxpress.co/id-id
